날짜,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5,기온(°C)
2021-10-12 09,0.003,0.3,0.017,0.022,10,3,17.4
2021-10-12 10,0.003,0.3,0.021,0.019,12,3,19.7
2021-10-12 11,0.003,0.3,0.028,0.013,14,2,19.7
2021-10-12 12,0.003,0.2,0.028,0.013,13,3,19.4
2021-10-12 13,0.003,0.3,0.028,0.013,14,6,19.7
2021-10-12 14,0.003,0.3,0.028,0.013,12,3,20.7
2021-10-12 15,0.003,0.3,0.029,0.012,14,1,20.7
2021-10-12 16,0.002,0.2,0.03,0.011,14,4,21.3
2021-10-12 17,0.003,0.2,0.029,0.012,14,3,20
2021-10-12 18,0.003,0.2,0.028,0.013,11,3,19.3
2021-10-12 19,0.003,0.2,0.027,0.013,12,7,18.5
2021-10-12 20,0.003,0.3,0.024,0.017,11,3,18
2021-10-12 21,0.003,0.3,0.019,0.022,14,5,17.6
2021-10-12 22,0.003,0.3,0.024,0.016,14,4,17.2
2021-10-12 23,0.003,0.3,0.028,0.012,14,3,16.9
2021-10-12 24,0.003,0.2,0.031,0.01,11,2,16.7
2021-10-13 01,0.003,0.2,0.034,0.007,10,4,16.2
2021-10-13 02,0.003,0.2,0.036,0.005,9,2,15.9
2021-10-13 03,0.002,0.2,0.034,0.007,10,5,15.5
2021-10-13 04,0.002,0.2,0.035,0.006,9,2,15.1
2021-10-13 05,0.003,0.2,0.034,0.008,12,3,15
2021-10-13 06,0.003,0.2,0.022,0.017,9,3,15.1
2021-10-13 07,0.002,0.2,0.014,0.027,12,4,14.9
2021-10-13 08,0.003,0.2,0.022,0.02,11,2,15.5
2021-10-13 09,0.003,0.3,0.025,0.017,12,4,18
2021-10-13 10,0.002,0.3,0.027,0.015,10,1,19.6
2021-10-13 11,0.003,0.3,0.028,0.014,12,3,21.5
2021-10-13 12,0.003,0.3,0.031,0.013,11,2,22.1
2021-10-13 13,0.003,0.2,0.034,0.011,13,4,23.3
2021-10-13 14,0.002,0.3,0.034,0.012,10,3,24
2021-10-13 15,0.003,0.3,0.039,0.013,13,3,24.2
2021-10-13 16,0.003,0.3,0.038,0.013,11,4,25
2021-10-13 17,0.003,0.3,0.037,0.013,12,5,24
2021-10-13 18,0.003,0.3,0.033,0.016,14,7,22.4
2021-10-13 19,0.002,0.3,0.028,0.02,15,8,21.4
2021-10-13 20,0.003,0.4,0.022,0.024,14,8,20.7
2021-10-13 21,0.003,0.4,0.014,0.028,13,8,20.5
2021-10-13 22,0.003,0.3,0.013,0.026,14,6,20.3
2021-10-13 23,0.003,0.4,0.009,0.029,14,7,19.8
2021-10-13 24,0.003,0.3,0.008,0.028,14,6,19.3
2021-10-14 01,0.003,0.3,0.012,0.021,14,8,18.3
2021-10-14 02,0.003,0.3,0.014,0.016,13,5,18.1
2021-10-14 03,0.003,0.3,0.011,0.018,15,6,18
2021-10-14 04,0.003,0.3,0.005,0.022,13,6,18
2021-10-14 05,0.003,0.3,0.002,0.025,14,7,17.9
2021-10-14 06,0.003,0.3,0.006,0.022,14,5,17.7
2021-10-14 07,0.003,0.3,0.001,0.027,12,6,17.4
2021-10-14 08,0.003,0.3,0.002,0.027,14,5,17.8
2021-10-14 09,0.003,0.4,0.005,0.025,17,5,18.5
2021-10-14 10,0.003,0.4,0.007,0.026,18,6,20
2021-10-14 11,0.003,0.3,0.03,0.021,18,8,21
2021-10-14 12,0.003,0.3,0.037,0.021,19,8,21.7
2021-10-14 13,0.003,0.3,0.039,0.025,28,15,22.5
2021-10-14 14,0.003,0.3,0.048,0.02,26,14,23.4
2021-10-14 15,,,,,,,23.8
2021-10-14 16,,,,,,,23.6
2021-10-14 17,,,,,,,22.5
2021-10-14 18,0.004,0.4,0.033,0.026,36,18,20.6
2021-10-14 19,0.004,0.4,0.03,0.026,32,16,19.8
2021-10-14 20,0.003,0.4,0.028,0.027,27,13,19.1
2021-10-14 21,0.003,0.4,0.027,0.026,26,14,18.9
2021-10-14 22,0.003,0.3,0.032,0.017,17,8,18.6
2021-10-14 23,0.004,0.3,0.033,0.017,16,11,18.7
2021-10-14 24,0.003,0.3,0.039,0.013,20,9,18.5
2021-10-15 01,0.003,0.3,0.037,0.011,21,11,18.5
2021-10-15 02,0.003,0.3,0.035,0.011,22,9,18.3
2021-10-15 03,0.003,0.3,0.033,0.012,28,14,18.1
2021-10-15 04,0.003,0.3,0.032,0.01,27,12,17.6
2021-10-15 05,0.003,0.3,0.035,0.008,29,14,17.3
2021-10-15 06,0.003,0.3,0.033,0.011,25,12,17.1
2021-10-15 07,0.003,0.3,0.033,0.014,20,9,17
2021-10-15 08,0.003,0.3,0.022,0.02,22,12,17.2
2021-10-15 09,0.003,0.4,0.013,0.027,25,12,17.7
2021-10-15 10,0.003,0.4,0.024,0.022,23,13,18.3
2021-10-15 11,0.003,0.4,0.021,0.026,24,14,18.8
2021-10-15 12,0.003,0.4,0.018,0.027,24,14,19.6
2021-10-15 13,0.003,0.3,0.027,0.016,22,12,20.9
2021-10-15 14,0.003,0.3,0.033,0.014,19,10,21.4
2021-10-15 15,0.003,0.3,0.032,0.017,23,14,21.2
2021-10-15 16,0.003,0.3,0.031,0.017,20,12,20.9
2021-10-15 17,0.003,0.3,0.027,0.022,19,12,20.6
2021-10-15 18,0.003,0.4,0.026,0.021,19,11,20.2
2021-10-15 19,0.003,0.4,0.02,0.025,21,11,20
2021-10-15 20,0.003,0.3,0.014,0.027,20,11,19.9
2021-10-15 21,0.003,0.3,0.014,0.022,18,9,19.8
2021-10-15 22,0.003,0.3,0.015,0.018,14,7,19.3
2021-10-15 23,0.003,0.3,0.024,0.013,18,8,18.8
2021-10-15 24,0.003,0.3,0.026,0.011,32,14,18.1
2021-10-16 01,0.003,0.3,0.025,0.011,28,15,17.5
2021-10-16 02,0.003,0.3,0.034,0.008,24,11,17
2021-10-16 03,0.003,0.3,0.039,0.006,19,10,16.4
2021-10-16 04,0.003,0.3,0.036,0.005,20,9,15.7
2021-10-16 05,0.003,0.3,0.034,0.006,21,9,15.3
2021-10-16 06,0.003,0.3,0.031,0.007,22,10,14.6
2021-10-16 07,0.003,0.3,0.025,0.009,26,12,13.4
2021-10-16 08,0.004,0.3,0.023,0.012,28,13,13.1
2021-10-16 09,0.004,0.3,0.023,0.013,32,11,13.8
2021-10-16 10,0.003,0.3,0.022,0.013,31,11,12.8
2021-10-16 11,0.003,0.3,0.021,0.012,40,11,12.8
2021-10-16 12,0.003,0.3,0.028,0.01,37,9,12.6
2021-10-16 13,0.003,0.3,0.032,0.008,35,5,11.6
2021-10-16 14,0.003,0.3,0.034,0.009,28,5,11
2021-10-16 15,0.003,0.2,0.034,0.009,26,5,10.2
2021-10-16 16,0.003,0.2,0.034,0.007,28,4,9.3
2021-10-16 17,0.003,0.2,0.033,0.007,33,5,8.7
2021-10-16 18,0.003,0.3,0.032,0.007,30,5,7.9
2021-10-16 19,0.003,0.3,0.031,0.007,33,7,7
2021-10-16 20,0.003,0.3,0.029,0.007,29,7,6.3
2021-10-16 21,0.003,0.3,0.029,0.006,27,8,5.5
2021-10-16 22,0.003,0.2,0.029,0.006,21,5,5
2021-10-16 23,0.003,0.3,0.029,0.007,20,5,4.4
2021-10-16 24,0.003,0.3,0.03,0.007,17,4,4.2
2021-10-17 01,0.003,0.2,0.031,0.005,16,4,3.6
2021-10-17 02,0.003,0.3,0.032,0.004,15,4,3.2
2021-10-17 03,0.003,0.2,0.031,0.004,17,3,2.5
2021-10-17 04,0.003,0.2,0.031,0.004,15,4,2.4
2021-10-17 05,0.003,0.2,0.03,0.004,15,4,2.1
2021-10-17 06,0.003,0.2,0.028,0.005,16,5,1.6
2021-10-17 07,0.003,0.2,0.027,0.006,20,6,1.3
2021-10-17 08,0.003,0.2,0.027,0.006,16,4,1.6
2021-10-17 09,0.003,0.2,0.027,0.006,19,4,2.9
2021-10-17 10,0.003,0.2,0.026,0.007,16,3,5
2021-10-17 11,0.003,0.3,0.028,0.008,20,3,6.1
2021-10-17 12,0.003,0.3,0.028,0.008,20,5,7.9
2021-10-17 13,0.003,0.3,0.032,0.007,22,5,9.1
2021-10-17 14,0.003,0.2,0.035,0.007,21,6,9.8
2021-10-17 15,0.003,0.3,0.035,0.008,25,6,10.6
2021-10-17 16,0.003,0.3,0.036,0.008,24,7,10.5
2021-10-17 17,0.003,0.3,0.034,0.009,24,5,10.3
2021-10-17 18,0.003,0.3,0.031,0.009,20,7,8.5
2021-10-17 19,0.003,0.3,0.026,0.012,21,6,7.6
2021-10-17 20,0.003,0.3,0.026,0.012,22,7,6.8
2021-10-17 21,0.003,0.3,0.025,0.013,23,5,5.8
2021-10-17 22,0.003,0.3,0.026,0.012,19,5,5.5
2021-10-17 23,0.003,0.3,0.027,0.01,22,7,5
2021-10-17 24,0.003,0.3,0.027,0.008,22,6,4.8
2021-10-18 01,0.003,0.3,0.026,0.009,19,6,4.2
2021-10-18 02,0.003,0.3,0.018,0.015,14,4,3.5
2021-10-18 03,0.003,0.3,0.009,0.023,20,7,3.2
2021-10-18 04,0.003,0.3,0.009,0.021,17,6,3.1
2021-10-18 05,0.002,0.3,0.003,0.026,18,9,2.9
2021-10-18 06,0.003,0.3,0.004,0.023,17,6,3.2
2021-10-18 07,0.003,0.4,0.002,0.028,18,5,3
2021-10-18 08,0.003,0.4,0.003,0.03,16,5,4.3
2021-10-18 09,0.003,0.4,0.004,0.031,22,8,6.8
2021-10-18 10,0.003,0.4,0.006,0.029,22,7,8
2021-10-18 11,0.003,0.4,0.008,0.031,27,9,11
2021-10-18 12,0.003,0.4,0.011,0.03,29,8,12.7
2021-10-18 13,0.003,0.3,0.02,0.023,30,12,15.5
2021-10-18 14,0.003,0.4,0.021,0.024,26,10,15.7
2021-10-18 15,0.003,0.3,0.024,0.023,30,11,15.2
